日期,UID,获取积分数
2022/4/29,,94.08
2022/4/29,,104.72
2022/4/29,,7.56
2022/4/29,,1038.612
2022/4/29,,71.68
2022/4/29,,3489.437
2022/4/29,,1.4
2022/4/29,,110.04
2022/4/29,,5.6
2022/4/29,,457.107
2022/4/29,,1.4
2022/4/29,,910.154
2022/4/29,,8.4
2022/4/29,,5521.36
2022/4/29,,109.2
2022/4/29,,857.04
2022/4/29,,600.562
2022/4/29,,4122.64
2022/4/29,,632.88
2022/4/29,,836.359
2022/4/29,,171.88
2022/4/29,,36.4
2022/4/29,,1051.317
2022/4/29,,1114.166
2022/4/29,,42.84
2022/4/29,,1.4
2022/4/29,,12.31
2022/4/29,,1183.96
2022/4/29,,1293.978
2022/4/29,,3.08
2022/4/29,,100.28
2022/4/29,,277.398
2022/4/29,,1.596
2022/4/29,,1446.28
2022/4/29,,1.4
2022/4/29,,304.7
2022/4/29,,13.167
2022/4/29,,12.6
2022/4/29,,41.594
2022/4/29,,121.24
2022/4/29,,29.96
2022/4/29,,183.651
2022/4/29,,2.8
2022/4/29,,302.08
2022/4/29,,19.88
2022/4/29,,1955.076
2022/4/29,,192.542
2022/4/29,,151.2
2022/4/29,,9.198
2022/4/29,,104.44
2022/4/29,,949.966
2022/4/29,,303.6
2022/4/29,,202.08
2022/4/29,,0.28
2022/4/29,,67.6
2022/4/29,,1112.439
2022/4/29,,12.6
2022/4/29,,9.8
2022/4/29,,1028.194
2022/4/29,,0.56
2022/4/29,,4758.892
2022/4/29,,1.4
2022/4/29,,4.2
2022/4/29,,0.28
2022/4/29,,1862.602
2022/4/29,,147.76
2022/4/29,,0.28
2022/4/29,,997
2022/4/29,,49.428
2022/4/29,,9.779
2022/4/29,,22.68
2022/4/29,,91.6
2022/4/29,,3964.21
2022/4/29,,1.4
2022/4/29,,2277.24
2022/4/29,,6.72
2022/4/29,,0.28
2022/4/29,,2.52
2022/4/29,,99.96
2022/4/29,,1.995
2022/4/29,,92.26
2022/4/29,,798.6
2022/4/29,,111.44
2022/4/29,,38.808
2022/4/29,,145.4
2022/4/29,,7
2022/4/29,,0.28
2022/4/29,,1764.28
2022/4/29,,25.2
2022/4/29,,97.118
