日期,uid,获取积分总数
2022/5/1,1789379,2.4
2022/5/1,1788997,4
2022/5/1,1788983,62
2022/5/1,1788807,22.2
2022/5/1,1788668,50.6
2022/5/1,1788648,7.6
2022/5/1,1788609,166
2022/5/1,1788597,50
2022/5/1,1788594,107.2
2022/5/1,1788592,128.4
2022/5/1,1788589,5628.8
2022/5/1,1788579,669.4
2022/5/1,1788570,194.6
2022/5/1,1788561,198.4
2022/5/1,1788555,2358.4
2022/5/1,1788554,6577.6
2022/5/1,1788548,156
